model,learning_rate,val_split,epochs,accuracy,TPR,TNR
simple_CNN_model_1_sigmoid,1e-05,,20,0.5915492957746479,0.7714285714285715,0.4166666666666667
cnn_model_succeeded,1e-05,,50,0.5915492957746479,0.8857142857142857,0.3055555555555556
cnn_model_succeeded,1e-06,,50,0.5915492957746479,0.6,0.5833333333333334
simple_CNN_model_1_sigmoid,1e-06,0.33,100,0.5774647887323944,0.7142857142857143,0.4444444444444444
simple_CNN_model_1_sigmoid,1e-06,,50,0.5774647887323944,0.6571428571428571,0.5
cnn_model_succeeded,1e-05,0.33,50,0.5774647887323944,0.7142857142857143,0.4444444444444444
cnn_model_succeeded,0.0001,0.33,10,0.5774647887323944,0.8857142857142857,0.2777777777777778
cnn_model_succeeded,1e-06,,3,0.5633802816901409,0.2857142857142857,0.8333333333333334
CNN_model_paper2,0.0001,,3,0.5633802816901409,0.8571428571428571,0.2777777777777778
CNN_model_paper2,1e-07,0.33,5,0.5633802816901409,0.42857142857142855,0.6944444444444444
cnn_model_succeeded,1e-05,,3,0.5633802816901409,0.9142857142857143,0.2222222222222222
cnn_model_succeeded,1e-06,,100,0.5633802816901409,0.6,0.5277777777777778
simple_CNN_model_1_sigmoid,1e-05,,100,0.5633802816901409,0.6285714285714286,0.5
cnn_model_succeeded,1e-05,,100,0.5633802816901409,0.8857142857142857,0.25
simple_CNN_model_1_sigmoid,0.0001,,20,0.5492957746478874,0.6571428571428571,0.4444444444444444
cnn_model_succeeded,1e-07,,50,0.5492957746478874,0.6857142857142857,0.4166666666666667
cnn_model_succeeded,1e-05,0.33,100,0.5492957746478874,0.2,0.8888888888888888
cnn_model_succeeded,1e-05,0.33,5,0.5492957746478874,0.6285714285714286,0.4722222222222222
simple_CNN_model_1_sigmoid,1e-05,0.33,100,0.5492957746478874,0.4857142857142857,0.6111111111111112
cnn_model_succeeded,1e-05,0.33,20,0.5492957746478874,0.7714285714285715,0.3333333333333333
CNN_model_paper2,1e-05,0.33,100,0.5492957746478874,0.5142857142857142,0.5833333333333334
simple_CNN_model_1_sigmoid,1e-06,,5,0.5492957746478874,0.7142857142857143,0.3888888888888889
cnn_model_succeeded,0.0001,,20,0.5492957746478874,0.7428571428571429,0.3611111111111111
cnn_model_succeeded,0.0001,,50,0.5492957746478874,0.9428571428571428,0.16666666666666666
CNN_model_paper2,1e-06,,20,0.5492957746478874,0.5428571428571428,0.5555555555555556
CNN_model_paper2,1e-06,0.33,100,0.5492957746478874,0.5428571428571428,0.5555555555555556
simple_CNN_model_1_sigmoid,1e-05,,50,0.5352112676056338,0.9142857142857143,0.16666666666666666
CNN_model_paper2,0.0001,0.33,5,0.5352112676056338,0.9428571428571428,0.1388888888888889
simple_CNN_model_1_sigmoid,1e-05,0.33,10,0.5352112676056338,0.5142857142857142,0.5555555555555556
simple_CNN_model_1_sigmoid,1e-05,0.33,50,0.5352112676056338,0.6,0.4722222222222222
simple_CNN_model_1_sigmoid,1e-06,,1,0.5352112676056338,0.4857142857142857,0.5833333333333334
CNN_model_paper2,0.0001,,10,0.5352112676056338,0.6571428571428571,0.4166666666666667
cnn_model_succeeded,0.0001,0.33,20,0.5352112676056338,0.6571428571428571,0.4166666666666667
cnn_model_succeeded,1e-07,0.33,20,0.5352112676056338,0.6571428571428571,0.4166666666666667
simple_CNN_model_1_sigmoid,1e-06,,100,0.5352112676056338,0.6285714285714286,0.4444444444444444
CNN_model_paper2,1e-06,,3,0.5352112676056338,0.5428571428571428,0.5277777777777778
simple_CNN_model_1_sigmoid,1e-07,,10,0.5352112676056338,0.42857142857142855,0.6388888888888888
simple_CNN_model_1_sigmoid,1e-05,,3,0.5352112676056338,0.2,0.8611111111111112
CNN_model_paper2,1e-07,,100,0.5352112676056338,0.17142857142857143,0.8888888888888888
simple_CNN_model_1_sigmoid,1e-05,,10,0.5352112676056338,0.7428571428571429,0.3333333333333333
simple_CNN_model_1_sigmoid,1e-07,,50,0.5352112676056338,0.5428571428571428,0.5277777777777778
CNN_model_paper2,0.0001,0.33,3,0.5352112676056338,0.8857142857142857,0.19444444444444445
CNN_model_paper2,1e-06,,10,0.5352112676056338,0.5428571428571428,0.5277777777777778
cnn_model_succeeded,1e-05,,20,0.5352112676056338,0.8857142857142857,0.19444444444444445
cnn_model_succeeded,1e-06,0.33,20,0.5211267605633803,0.4857142857142857,0.5555555555555556
simple_CNN_model_1_sigmoid,1e-05,0.33,20,0.5211267605633803,0.6,0.4444444444444444
simple_CNN_model_1_sigmoid,1e-06,0.33,20,0.5211267605633803,0.5428571428571428,0.5
CNN_model_paper2,1e-05,0.33,20,0.5211267605633803,0.6857142857142857,0.3611111111111111
cnn_model_succeeded,1e-06,0.33,10,0.5211267605633803,0.45714285714285713,0.5833333333333334
cnn_model_succeeded,1e-06,0.33,50,0.5211267605633803,0.6285714285714286,0.4166666666666667
cnn_model_succeeded,1e-05,0.33,3,0.5211267605633803,0.8857142857142857,0.16666666666666666
simple_CNN_model_1_sigmoid,1e-05,,1,0.5211267605633803,0.7428571428571429,0.3055555555555556
CNN_model_paper2,1e-07,,5,0.5211267605633803,0.2,0.8333333333333334
simple_CNN_model_1_sigmoid,1e-07,,20,0.5211267605633803,0.45714285714285713,0.5833333333333334
CNN_model_paper2,1e-05,,100,0.5211267605633803,0.4,0.6388888888888888
cnn_model_succeeded,1e-05,,1,0.5211267605633803,0.14285714285714285,0.8888888888888888
cnn_model_succeeded,1e-07,0.33,1,0.5211267605633803,1.0,0.05555555555555555
CNN_model_paper2,0.0001,0.33,20,0.5211267605633803,0.8571428571428571,0.19444444444444445
cnn_model_succeeded,0.001,,100,0.5211267605633803,0.5714285714285714,0.4722222222222222
simple_CNN_model_1_sigmoid,1e-05,0.33,1,0.5211267605633803,0.6,0.4444444444444444
cnn_model_succeeded,1e-07,,20,0.5211267605633803,0.3142857142857143,0.7222222222222222
cnn_model_succeeded,0.0001,,100,0.5211267605633803,0.8285714285714286,0.2222222222222222
cnn_model_succeeded,1e-07,,10,0.5211267605633803,0.14285714285714285,0.8888888888888888
cnn_model_succeeded,1e-07,,5,0.5211267605633803,0.45714285714285713,0.5833333333333334
simple_CNN_model_1_sigmoid,0.0001,,50,0.5070422535211268,0.0,1.0
simple_CNN_model_1_sigmoid,0.0001,0.33,10,0.5070422535211268,0.0,1.0
cnn_model_succeeded,1e-05,,5,0.5070422535211268,1.0,0.027777777777777776
cnn_model_succeeded,0.001,,5,0.5070422535211268,0.0,1.0
CNN_model_paper2,0.0001,,5,0.5070422535211268,0.8857142857142857,0.1388888888888889
cnn_model_succeeded,0.0001,,3,0.5070422535211268,0.0,1.0
cnn_model_succeeded,1e-07,0.33,5,0.5070422535211268,0.0,1.0
simple_CNN_model_1_sigmoid,0.001,0.33,50,0.5070422535211268,0.0,1.0
CNN_model_paper2,1e-05,0.33,10,0.5070422535211268,0.6,0.4166666666666667
simple_CNN_model_1_sigmoid,0.0001,,5,0.5070422535211268,0.0,1.0
cnn_model_succeeded,0.001,0.33,5,0.5070422535211268,0.0,1.0
cnn_model_succeeded,1e-06,0.33,5,0.5070422535211268,0.5142857142857142,0.5
cnn_model_succeeded,0.001,0.33,50,0.5070422535211268,0.0,1.0
cnn_model_succeeded,0.001,,20,0.5070422535211268,0.0,1.0
CNN_model_paper2,1e-05,0.33,50,0.5070422535211268,0.42857142857142855,0.5833333333333334
simple_CNN_model_1_sigmoid,0.0001,0.33,5,0.5070422535211268,0.0,1.0
cnn_model_succeeded,0.0001,0.33,5,0.5070422535211268,0.0,1.0
CNN_model_paper2,1e-05,0.33,5,0.5070422535211268,0.02857142857142857,0.9722222222222222
CNN_model_paper2,0.001,0.33,5,0.5070422535211268,0.0,1.0
CNN_model_paper2,0.0001,,20,0.5070422535211268,0.9428571428571428,0.08333333333333333
simple_CNN_model_1_sigmoid,1e-06,0.33,50,0.5070422535211268,0.6,0.4166666666666667
cnn_model_succeeded,0.001,,50,0.5070422535211268,0.0,1.0
cnn_model_succeeded,0.001,0.33,10,0.5070422535211268,0.0,1.0
simple_CNN_model_1_sigmoid,1e-05,0.33,5,0.5070422535211268,0.14285714285714285,0.8611111111111112
CNN_model_paper2,0.0001,0.33,10,0.5070422535211268,0.37142857142857144,0.6388888888888888
CNN_model_paper2,1e-06,0.33,5,0.5070422535211268,0.02857142857142857,0.9722222222222222
CNN_model_paper2,0.0001,0.33,50,0.5070422535211268,0.8857142857142857,0.1388888888888889
simple_CNN_model_1_sigmoid,0.001,,50,0.5070422535211268,0.0,1.0
CNN_model_paper2,1e-07,,10,0.5070422535211268,0.0,1.0
CNN_model_paper2,1e-05,,5,0.5070422535211268,0.6571428571428571,0.3611111111111111
CNN_model_paper2,0.001,0.33,3,0.5070422535211268,0.0,1.0
simple_CNN_model_1_sigmoid,0.0001,0.33,20,0.5070422535211268,0.0,1.0
simple_CNN_model_1_sigmoid,0.0001,0.33,100,0.5070422535211268,0.0,1.0
simple_CNN_model_1_sigmoid,1e-07,0.33,1,0.5070422535211268,0.0,1.0
cnn_model_succeeded,0.0001,0.33,100,0.5070422535211268,0.5142857142857142,0.5
cnn_model_succeeded,1e-05,0.33,1,0.5070422535211268,0.0,1.0
CNN_model_paper2,0.001,0.33,1,0.5070422535211268,0.0,1.0
simple_CNN_model_1_sigmoid,0.001,,10,0.5070422535211268,0.0,1.0
cnn_model_succeeded,1e-06,0.33,100,0.5070422535211268,0.6,0.4166666666666667
cnn_model_succeeded,0.001,,10,0.5070422535211268,0.0,1.0
cnn_model_succeeded,0.0001,,1,0.5070422535211268,0.0,1.0
CNN_model_paper2,1e-05,0.33,1,0.5070422535211268,1.0,0.027777777777777776
simple_CNN_model_1_sigmoid,1e-07,0.33,100,0.5070422535211268,0.4857142857142857,0.5277777777777778
cnn_model_succeeded,1e-06,0.33,1,0.5070422535211268,0.7714285714285715,0.25
CNN_model_paper2,0.001,,100,0.5070422535211268,0.5428571428571428,0.4722222222222222
simple_CNN_model_1_sigmoid,0.0001,,10,0.5070422535211268,0.0,1.0
cnn_model_succeeded,0.0001,,10,0.5070422535211268,0.4,0.6111111111111112
simple_CNN_model_1_sigmoid,0.001,,100,0.5070422535211268,0.22857142857142856,0.7777777777777778
cnn_model_succeeded,0.001,0.33,20,0.5070422535211268,0.0,1.0
CNN_model_paper2,0.001,,1,0.5070422535211268,0.0,1.0
simple_CNN_model_1_sigmoid,1e-07,0.33,10,0.5070422535211268,1.0,0.027777777777777776
CNN_model_paper2,1e-05,,10,0.5070422535211268,0.6,0.4166666666666667
simple_CNN_model_1_sigmoid,0.001,0.33,1,0.5070422535211268,0.0,1.0
simple_CNN_model_1_sigmoid,1e-07,,100,0.5070422535211268,0.5142857142857142,0.5
simple_CNN_model_1_sigmoid,1e-05,0.33,3,0.5070422535211268,0.0,1.0
CNN_model_paper2,0.001,0.33,100,0.5070422535211268,0.8857142857142857,0.1388888888888889
cnn_model_succeeded,0.001,0.33,3,0.5070422535211268,0.0,1.0
CNN_model_paper2,1e-07,0.33,3,0.5070422535211268,0.0,1.0
cnn_model_succeeded,0.0001,0.33,3,0.5070422535211268,0.0,1.0
simple_CNN_model_1_sigmoid,0.0001,0.33,3,0.5070422535211268,0.0,1.0
cnn_model_succeeded,1e-07,0.33,3,0.5070422535211268,1.0,0.027777777777777776
simple_CNN_model_1_sigmoid,0.001,0.33,100,0.5070422535211268,0.0,1.0
cnn_model_succeeded,1e-05,0.33,10,0.5070422535211268,0.37142857142857144,0.6388888888888888
cnn_model_succeeded,0.001,0.33,1,0.5070422535211268,0.0,1.0
cnn_model_succeeded,0.001,0.33,100,0.5070422535211268,0.0,1.0
simple_CNN_model_1_sigmoid,0.0001,0.33,1,0.5070422535211268,0.0,1.0
CNN_model_paper2,1e-07,,50,0.5070422535211268,0.0,1.0
CNN_model_paper_withDropout,1e-06,,20,0.49295774647887325,1.0,0.0
CNN_model_paper,0.0001,0.33,20,0.49295774647887325,1.0,0.0
CNN_model_paper,0.001,0.33,20,0.49295774647887325,1.0,0.0
simple_CNN_model_1,1e-07,,10,0.49295774647887325,1.0,0.0
simple_CNN_model_1_sigmoid,0.001,0.33,20,0.49295774647887325,1.0,0.0
CNN_model_paper_withDropout,1e-05,,20,0.49295774647887325,1.0,0.0
CNN_model_paper,1e-06,,20,0.49295774647887325,1.0,0.0
simple_CNN_model_1,1e-05,,20,0.49295774647887325,1.0,0.0
simple_CNN_model_1,0.001,0.33,20,0.49295774647887325,1.0,0.0
CNN_model_paper_withDropout,0.001,0.33,20,0.49295774647887325,1.0,0.0
CNN_model_paper_withDropout,1e-07,0.33,20,0.49295774647887325,1.0,0.0
simple_CNN_model_1,0.0001,,20,0.49295774647887325,1.0,0.0
CNN_model_paper2,1e-05,,20,0.49295774647887325,0.5428571428571428,0.4444444444444444
simple_CNN_model_1,1e-05,0.33,20,0.49295774647887325,1.0,0.0
CNN_model_paper,1e-07,0.33,20,0.49295774647887325,1.0,0.0
simple_CNN_model_1,1e-06,,20,0.49295774647887325,1.0,0.0
CNN_model_paper_withDropout,1e-06,0.33,20,0.49295774647887325,1.0,0.0
CNN_model_paper,1e-06,0.33,20,0.49295774647887325,1.0,0.0
CNN_model_paper,0.001,,20,0.49295774647887325,1.0,0.0
CNN_model_paper_withDropout,0.001,,20,0.49295774647887325,1.0,0.0
simple_CNN_model_1,0.001,,20,0.49295774647887325,1.0,0.0
simple_CNN_model_1_sigmoid,0.001,,20,0.49295774647887325,1.0,0.0
CNN_model_paper,1e-05,,20,0.49295774647887325,1.0,0.0
CNN_model_paper,0.0001,,20,0.49295774647887325,1.0,0.0
CNN_model_paper_withDropout,1e-05,0.33,20,0.49295774647887325,1.0,0.0
CNN_model_paper_withDropout,0.0001,,20,0.49295774647887325,1.0,0.0
CNN_model_paper,1e-05,0.33,20,0.49295774647887325,1.0,0.0
simple_CNN_model_1,1e-07,0.33,20,0.49295774647887325,1.0,0.0
simple_CNN_model_1,0.0001,0.33,20,0.49295774647887325,1.0,0.0
CNN_model_paper_withDropout,0.0001,0.33,20,0.49295774647887325,1.0,0.0
simple_CNN_model_1,1e-06,0.33,20,0.49295774647887325,1.0,0.0
CNN_model_paper,0.001,0.33,1,0.49295774647887325,1.0,0.0
simple_CNN_model_1_sigmoid,1e-06,,20,0.49295774647887325,0.45714285714285713,0.5277777777777778
CNN_model_paper,1e-07,,50,0.49295774647887325,1.0,0.0
CNN_model_paper_withDropout,1e-07,0.33,100,0.49295774647887325,1.0,0.0
CNN_model_paper,1e-07,0.33,100,0.49295774647887325,1.0,0.0
simple_CNN_model_1,1e-06,0.33,100,0.49295774647887325,1.0,0.0
CNN_model_paper_withDropout,1e-06,0.33,100,0.49295774647887325,1.0,0.0
CNN_model_paper,1e-06,0.33,100,0.49295774647887325,1.0,0.0
simple_CNN_model_1,1e-05,0.33,100,0.49295774647887325,1.0,0.0
CNN_model_paper_withDropout,1e-05,0.33,100,0.49295774647887325,1.0,0.0
CNN_model_paper,1e-05,0.33,100,0.49295774647887325,1.0,0.0
simple_CNN_model_1,0.0001,0.33,100,0.49295774647887325,1.0,0.0
CNN_model_paper_withDropout,0.0001,0.33,100,0.49295774647887325,1.0,0.0
CNN_model_paper,0.0001,0.33,100,0.49295774647887325,1.0,0.0
simple_CNN_model_1,0.001,0.33,100,0.49295774647887325,1.0,0.0
CNN_model_paper_withDropout,0.001,0.33,100,0.49295774647887325,1.0,0.0
CNN_model_paper,0.001,0.33,100,0.49295774647887325,1.0,0.0
simple_CNN_model_1,1e-07,,50,0.49295774647887325,1.0,0.0
simple_CNN_model_1,1e-07,0.33,100,0.49295774647887325,1.0,0.0
cnn_model_succeeded,1e-07,0.33,100,0.49295774647887325,0.37142857142857144,0.6111111111111112
CNN_model_paper,0.001,,100,0.49295774647887325,1.0,0.0
simple_CNN_model_1,1e-05,,100,0.49295774647887325,1.0,0.0
simple_CNN_model_1,1e-07,,100,0.49295774647887325,1.0,0.0
CNN_model_paper_withDropout,1e-07,,100,0.49295774647887325,1.0,0.0
CNN_model_paper,1e-07,,100,0.49295774647887325,1.0,0.0
simple_CNN_model_1,1e-06,,100,0.49295774647887325,1.0,0.0
CNN_model_paper_withDropout,1e-06,,100,0.49295774647887325,1.0,0.0
CNN_model_paper,1e-06,,100,0.49295774647887325,1.0,0.0
CNN_model_paper_withDropout,1e-05,,100,0.49295774647887325,1.0,0.0
CNN_model_paper_withDropout,0.001,,100,0.49295774647887325,1.0,0.0
CNN_model_paper,1e-05,,100,0.49295774647887325,1.0,0.0
simple_CNN_model_1_sigmoid,0.0001,,100,0.49295774647887325,1.0,0.0
simple_CNN_model_1,0.0001,,100,0.49295774647887325,1.0,0.0
CNN_model_paper_withDropout,0.0001,,100,0.49295774647887325,1.0,0.0
CNN_model_paper,0.0001,,100,0.49295774647887325,1.0,0.0
simple_CNN_model_1,0.001,,100,0.49295774647887325,1.0,0.0
CNN_model_paper_withDropout,1e-07,,50,0.49295774647887325,1.0,0.0
simple_CNN_model_1,1e-06,,50,0.49295774647887325,1.0,0.0
